LB_564.D701+D501	F10r11sub1
LB_564.D702+D501	F10r11sub2
LB_574.D701+D501	F10r11sub3
LB_574.D702+D501	F10r11sub4
LB_574.D703+D501	F10r11sub5
LB_564.D703+D501	F10r12sub1
LB_564.D704+D501	F10r12sub2
LB_574.D704+D501	F10r12sub3
LB_574.D705+D502	F10r12sub4
LB_574.D706+D502	F10r12sub5
LB_564.D705+D502	F10r13sub1
LB_564.D706+D502	F10r13sub2
LB_574.D707+D502	F10r13sub3
LB_574.D708+D502	F10r13sub4
LB_574.D709+D503	F10r13sub5
LB_564.D707+D502	F10r14sub1
LB_564.D708+D502	F10r14sub2
LB_574.D710+D503	F10r14sub3
LB_575.D711+D503	F10r14sub4
LB_575.D712+D503	F10r14sub5
LB_267.TI25+UNPR	F20r11sub1
LB_267.TI27+UNPR	F20r11sub2
LB_575.D701+D504	F20r11sub3
LB_575.D702+D504	F20r11sub4
LB_575.D703+D504	F20r11sub5
LB_267.TI01+UNPR	F20r12sub1
LB_267.TI03+UNPR	F20r12sub2
LB_575.D704+D504	F20r12sub3
LB_575.D705+D505	F20r12sub4
LB_575.D706+D505	F20r12sub5
LB_267.TI04+UNPR	F20r13sub1
LB_267.TI06+UNPR	F20r13sub2
LB_575.D707+D505	F20r13sub3
LB_575.D708+D505	F20r13sub4
LB_576.D709+D506	F20r13sub5
LB_267.TI07+UNPR	F20r14sub1
LB_267.TI08+UNPR	F20r14sub2
LB_576.D710+D506	F20r14sub3
LB_576.D711+D506	F20r14sub4
LB_576.D712+D506	F20r14sub5
LB_311.TI02	F30r11sub1
LB_311.TI04	F30r11sub2
LB_311.TI07	F30r11sub3
LB_311.TI09	F30r11sub4
LB_311.NX16mod	F30r11sub5
LB_311.TI18	F30r12sub1
LB_311.TI20	F30r12sub2
LB_311.TI21	F30r12sub3
LB_311.TI23	F30r12sub4
LB_311.TI25	F30r12sub5
LB_312.TI01	F30r13sub1
LB_312.TI03	F30r13sub2
LB_312.TI08	F30r13sub3
LB_312.TI10	F30r13sub4
LB_312.TI11	F30r13sub5
LB_312.TI12	F30r14sub1
LB_312.TI15	F30r14sub2
LB_312.NX16mod	F30r14sub3
LB_312.TI25	F30r14sub4
LB_312.TI27	F30r14sub5
LB_565.D709+D503	F40r11sub1
LB_565.D710+D503	F40r11sub2
LB_576.D701+D507	F40r11sub3
LB_576.D702+D507	F40r11sub4
LB_576.D703+D507	F40r11sub5
LB_565.D711+D503	F40r12sub1
LB_565.D712+D503	F40r12sub2
LB_576.D704+D507	F40r12sub3
LB_576.D705+D508	F40r12sub4
LB_576.D706+D508	F40r12sub5
LB_565.D701+D504	F40r13sub1
LB_565.D702+D504	F40r13sub2
LB_577.D707+D508	F40r13sub3
LB_577.D708+D508	F40r13sub4
LB_577.D709+D501	F40r13sub5
LB_565.D703+D504	F40r14sub1
LB_565.D704+D504	F40r14sub2
LB_577.D710+D501	F40r14sub3
LB_577.D711+D501	F40r14sub4
LB_577.D712+D501	F40r14sub5
LB_565.D705+D505	F50r11sub1
LB_565.D706+D505	F50r11sub2
LB_577.D701+D502	F50r11sub3
LB_577.D702+D502	F50r11sub4
LB_577.D703+D502	F50r11sub5
LB_566.D707+D505	F50r12sub1
LB_566.D708+D505	F50r12sub2
LB_577.D704+D502	F50r12sub3
LB_578.D705+D503	F50r12sub4
LB_578.D706+D503	F50r12sub5
LB_566.D709+D506	F50r13sub1
LB_566.D710+D506	F50r13sub2
LB_578.D707+D503	F50r13sub3
LB_578.D708+D503	F50r13sub4
LB_578.D709+D504	F50r13sub5
LB_566.D711+D506	F50r14sub1
LB_566.D712+D506	F50r14sub2
LB_578.D710+D504	F50r14sub3
LB_578.D711+D504	F50r14sub4
LB_578.D712+D504	F50r14sub5
LB_566.D701+D507	F60r11sub1
LB_566.D702+D507	F60r11sub2
LB_578.D701+D505	F60r11sub3
LB_578.D702+D505	F60r11sub4
LB_578.D703+D505	F60r11sub5
LB_566.D703+D507	F60r12sub1
LB_566.D704+D507	F60r12sub2
LB_579.D704+D505	F60r12sub3
LB_579.D705+D506	F60r12sub4
LB_579.D706+D506	F60r12sub5
LB_567.D705+D508	F60r13sub1
LB_567.D706+D508	F60r13sub2
LB_579.D707+D506	F60r13sub3
LB_579.D708+D506	F60r13sub4
LB_579.D709+D507	F60r13sub5
LB_567.D707+D508	F60r14sub1
LB_567.D708+D508	F60r14sub2
LB_579.D710+D507	F60r14sub3
LB_579.D711+D507	F60r14sub4
LB_579.D712+D507	F60r14sub5
LB_488.D701	F80r11sub1
LB_488.D702	F80r11sub2
LB_580.D701+D508	F80r11sub3
LB_580.D702+D508	F80r11sub4
LB_580.D703+D508	F80r11sub5
LB_488.D703	F80r12sub1
LB_488.D704	F80r12sub2
LB_580.D704+D508	F80r12sub3
LB_580.D705+D501	F80r12sub4
LB_580.D706+D501	F80r12sub5
LB_488.D705	F80r13sub1
LB_488.D706	F80r13sub2
LB_580.D707+D501	F80r13sub3
LB_580.D708+D501	F80r13sub4
LB_580.D709+D502	F80r13sub5
LB_488.D707	F80r14sub1
LB_488.D708	F80r14sub2
LB_580.D710+D502	F80r14sub3
LB_581.D711+D502	F80r14sub4
LB_581.D712+D502	F80r14sub5
LB_581.D701+D503	F100r11sub1
LB_581.D702+D503	F100r11sub2
LB_581.D703+D503	F100r11sub3
LB_581.D704+D503	F100r11sub4
LB_581.D705+D504	F100r11sub5
LB_581.D706+D504	F100r12sub1
LB_581.D707+D504	F100r12sub2
LB_581.D708+D504	F100r12sub3
LB_582.D709+D505	F100r12sub4
LB_582.D710+D505	F100r12sub5
LB_582.D711+D505	F100r13sub1
LB_582.D712+D505	F100r13sub2
LB_582.D701+D506	F100r13sub3
LB_582.D702+D506	F100r13sub4
LB_582.D703+D506	F100r13sub5
LB_582.D704+D506	F100r14sub1
LB_582.D705+D507	F100r14sub2
LB_582.D706+D507	F100r14sub3
LB_583.D707+D507	F100r14sub4
LB_583.D708+D507	F100r14sub5
LB_583.D709+D508	F120r11sub1
LB_583.D710+D508	F120r11sub2
LB_583.D711+D508	F120r11sub3
LB_583.D712+D508	F120r11sub4
LB_583.D701+D501	F120r11sub5
LB_583.D702+D501	F120r12sub1
LB_583.D703+D501	F120r12sub2
LB_583.D704+D501	F120r12sub3
LB_584.D705+D502	F120r12sub4
LB_584.D706+D502	F120r12sub5
LB_584.D707+D502	F120r13sub1
LB_584.D708+D502	F120r13sub2
LB_584.D709+D503	F120r13sub3
LB_584.D710+D503	F120r13sub4
LB_584.D711+D503	F120r13sub5
LB_584.D712+D503	F120r14sub1
LB_584.D701+D504	F120r14sub2
LB_584.D702+D504	F120r14sub3
LB_585.D703+D504	F120r14sub4
LB_585.D704+D504	F120r14sub5
LB_585.D705+D505	F140r11sub1
LB_585.D706+D505	F140r11sub2
LB_585.D707+D505	F140r11sub3
LB_585.D708+D505	F140r11sub4
LB_585.D709+D506	F140r11sub5
LB_585.D710+D506	F140r12sub1
LB_585.D711+D506	F140r12sub2
LB_585.D712+D506	F140r12sub3
LB_586.D701+D507	F140r12sub4
LB_586.D702+D507	F140r12sub5
LB_586.D703+D507	F140r13sub1
LB_586.D704+D507	F140r13sub2
LB_586.D705+D508	F140r13sub3
LB_586.D706+D508	F140r13sub4
LB_586.D707+D508	F140r13sub5
LB_586.D708+D508	F140r14sub1
LB_586.D709+D501	F140r14sub2
LB_586.D710+D501	F140r14sub3
LB_587.D711+D501	F140r14sub4
LB_587.D712+D501	F140r14sub5
